fecha	cp	minsplit	minbucket	maxdepth	corte	xval_repeats	xval_folds	ganancia	iteracion
20230907 011340	-0.292526251347759	1775	394	13	6955	10	5	74543000	190
20230907 011636	-0.220399477138356	1807	366	19	8658	10	5	74984000	191
20230907 011926	-0.980602572650042	1976	363	17	8972	10	5	75726000	192
20230907 012212	-0.48030989643484	1963	385	20	8713	10	5	75579000	193
20230907 012457	-0.430697405607474	1950	418	20	10959	10	5	72380000	194
20230907 012745	-0.142610652251716	1706	395	19	8220	10	5	75236000	195
20230907 013040	-0.142523577049403	1711	316	19	8732	10	5	74662000	196
20230907 013330	-0.3290012376388	1955	400	17	8552	10	5	75250000	197
20230907 013554	-0.982391019868494	1822	357	9	8849	10	5	74942000	198
20230907 013846	-0.982668506754928	1966	379	20	8716	10	5	75439000	199
20230907 014135	-0.992700272171826	1529	357	16	9002	10	5	74452000	200
20230907 014358	-0.367913519145557	1936	391	10	8608	10	5	75390000	201
20230907 014530	-0.579263103815459	7998	2177	5	5003	10	5	47229000	202
20230907 014821	-0.739343475805361	1951	383	20	8679	10	5	75264000	203
20230907 015123	-0.900725309514381	2031	266	20	8669	10	5	75586000	204
20230907 015434	-0.999498559239291	1978	87	17	8767	10	5	75341000	205
20230907 015656	-0.492898653928355	1973	390	10	8695	10	5	75131000	206
20230907 015859	-0.0852199684476497	6628	3311	20	5005	10	5	53109000	207
20230907 020104	-0.328224846423063	1157	487	7	14951	10	5	65702000	208
20230907 020351	-0.864042837401704	2009	363	17	11576	10	5	71855000	209
20230907 020553	-0.386612792850082	1801	398	7	8888	10	5	75446000	210
20230907 020830	-0.505423781576563	5172	416	20	11092	10	5	64358000	211
20230907 021046	-0.300917241099543	3023	1496	20	14985	10	5	54649000	212
20230907 021239	-0.524390476789336	7990	3994	17	12897	10	5	49931000	213
20230907 021517	-0.515171991820204	1993	397	14	7350	10	5	74774000	214
20230907 021812	-0.581572946130075	1982	340	20	7726	10	5	75313000	215
20230907 022111	-0.611842705138288	1910	247	20	8683	10	5	75481000	216
20230907 022311	-0.42524190682322	1917	400	7	8590	10	5	75670000	217
